塞	2-3-10
妻	2-5-3
宰	2-3-7
彩	1-8-3
才	4-3-3
採	1-3-8
栽	3-6-4
歳	2-4-9
済	1-3-8
災	2-3-4
采	2-4-4
犀	3-3-9
砕	1-5-4
砦	2-6-5
祭	2-6-5
斎	2-2-9
細	1-6-5
菜	2-3-8
裁	3-6-6
載	3-6-7
際	1-3-11
剤	1-8-2
在	3-2-4
材	1-4-3
罪	2-5-8
財	1-7-3
冴	1-2-5
坂	1-3-4
阪	1-3-4
堺	1-3-9
榊	1-4-9
肴	2-2-6
咲	1-3-6
崎	1-3-8
埼	1-3-8
碕	1-5-8
鷺	2-13-11
作	1-2-5
削	1-7-2
咋	1-3-5
搾	1-3-10
昨	1-4-5
朔	1-6-4
柵	1-4-5
窄	2-3-7
策	2-6-6
索	2-4-6
錯	1-8-8
桜	1-4-6
鮭	1-11-6
笹	2-6-5
匙	3-9-2
冊	4-5-1
刷	1-6-2
察	2-3-11
拶	1-3-6
撮	1-3-12
擦	1-3-14
札	1-4-1
殺	1-6-4
薩	2-3-14
雑	1-6-8
皐	2-5-6
鯖	1-11-8
捌	1-3-7
錆	1-8-8
鮫	1-11-6
皿	4-5-1
晒	1-4-6
三	2-1-2
傘	2-2-10
参	2-2-6
山	3-2-1
惨	1-3-8
撒	1-3-12
散	1-8-4
桟	1-4-6
燦	1-4-13
珊	1-4-5
産	3-6-5
算	2-6-8
纂	2-6-14
蚕	2-4-6
讃	1-7-15
賛	2-8-7
酸	1-7-7
餐	2-7-9
斬	1-7-4
暫	2-11-4
残	1-4-6
仕	1-2-3
仔	1-2-3
伺	1-2-5
使	1-2-6
刺	1-6-2
司	3-1-4
史	4-5-4
嗣	1-8-5
四	3-3-2
士	4-3-2
始	1-3-5
姉	1-3-5
姿	2-6-3
子	4-3-1
屍	3-3-6
市	2-2-3
師	1-6-4
志	2-3-4
思	2-5-4
指	1-3-6
支	2-2-2
孜	1-3-4
斯	1-8-4
施	1-4-5
旨	2-2-4
枝	1-4-4
止	3-2-2
死	4-6-1
氏	3-2-2
獅	1-3-10
祉	1-4-4
私	1-5-2
糸	2-3-3
紙	1-6-4
紫	2-6-6
肢	1-4-4
脂	1-4-6
至	2-3-3
視	1-4-7
詞	1-7-5
詩	1-7-6
試	1-7-6
誌	1-7-7
諮	1-7-9
資	2-6-7
賜	1-7-8
雌	1-4-10
飼	1-8-5
歯	2-4-8
事	4-8-3
似	1-2-5
侍	1-2-6
児	2-5-2
字	2-3-3
寺	2-3-3
慈	2-3-10
持	1-3-6
時	1-4-6
次	1-2-4
滋	1-3-9
治	1-3-5
爾	4-14-1
璽	2-14-5
痔	3-5-6
磁	1-5-9
示	2-1-4
而	2-2-4
耳	4-6-1
自	4-6-2
蒔	2-3-10
辞	1-6-7
汐	1-3-3
鹿	3-3-8
式	3-3-3
識	1-7-12
鴫	1-5-11
竺	2-6-2
軸	1-7-5
宍	2-3-4
雫	2-8-3
七	4-2-2
叱	1-3-2
執	1-8-3
失	4-5-4
嫉	1-3-10
室	2-3-6
悉	2-7-4
湿	1-3-9
漆	1-3-11
疾	3-5-5
質	2-8-7
実	2-3-5
蔀	2-3-11
